paper,conf,year,doi,position,name,orcid,identity
agile_2023_010,agile,2023,10.5194/agile-giss-4-11-2023,3,Justine I. Blanford,0000-0003-0844-9390,orcid:0000-0003-0844-9390
agile_2023_010,agile,2023,10.5194/agile-giss-4-11-2023,4,Genito Maúre,0000-0002-9089-1905,orcid:0000-0002-9089-1905
agile_2023_010,agile,2023,10.5194/agile-giss-4-11-2023,5,Tatiana Marrufo,0000-0003-3903-1368,orcid:0000-0003-3903-1368
agile_2024_004,agile,2024,10.5194/agile-giss-5-5-2024,1,Dagoberto José Herrera-Murillo,0000-0002-8000-628X,orcid:0000-0002-8000-628X
agile_2024_004,agile,2024,10.5194/agile-giss-5-5-2024,2,Héctor Ochoa-Ortiz,0000-0002-6477-0683,orcid:0000-0002-6477-0683
agile_2024_004,agile,2024,10.5194/agile-giss-5-5-2024,3,Umair Ahmed,0000-0001-9130-5210,orcid:0000-0001-9130-5210
agile_2024_004,agile,2024,10.5194/agile-giss-5-5-2024,4,Francisco J. López-Pellicer,0000-0001-6491-7430,orcid:0000-0001-6491-7430
agile_2024_004,agile,2024,10.5194/agile-giss-5-5-2024,5,Barbara Re,0000-0003-1692-2053,orcid:0000-0003-1692-2053
agile_2024_004,agile,2024,10.5194/agile-giss-5-5-2024,6,Andrea Polini,0000-0002-2840-7561,orcid:0000-0002-2840-7561
agile_2024_004,agile,2024,10.5194/agile-giss-5-5-2024,7,Javier Nogueras-Iso,,name:iso javier nogueras
agile_2024_012,agile,2024,10.5194/agile-giss-5-13-2024,1,Manuel Soares,,name:manuel soares
agile_2024_012,agile,2024,10.5194/agile-giss-5-13-2024,2,Teresa Romão,0000-0002-3678-5626,orcid:0000-0002-3678-5626
agile_2024_012,agile,2024,10.5194/agile-giss-5-13-2024,3,Armanda Rodrigues,0000-0002-7080-5512,orcid:0000-0002-7080-5512
giscience_2016_001,giscience,2016,10.1007/978-3-319-45738-3_1,1,Cici Alexander,0000-0002-1671-6770,orcid:0000-0002-1671-6770
giscience_2016_001,giscience,2016,10.1007/978-3-319-45738-3_1,2,Lars Arge,,name:arge lars
giscience_2016_001,giscience,2016,10.1007/978-3-319-45738-3_1,3,Peder Klith Bøcher,0000-0002-3045-4607,orcid:0000-0002-3045-4607
giscience_2016_001,giscience,2016,10.1007/978-3-319-45738-3_1,4,Morten Revsbæk,,name:morten revsbk
giscience_2016_001,giscience,2016,10.1007/978-3-319-45738-3_1,5,Brody Sandel,0000-0003-2162-6902,orcid:0000-0003-2162-6902
giscience_2016_001,giscience,2016,10.1007/978-3-319-45738-3_1,6,Jens‐Christian Svenning,0000-0002-3415-0862,orcid:0000-0002-3415-0862
giscience_2016_001,giscience,2016,10.1007/978-3-319-45738-3_1,7,Constantinos Tsirogiannis,0000-0003-2823-6827,orcid:0000-0003-2823-6827
giscience_2016_001,giscience,2016,10.1007/978-3-319-45738-3_1,8,Jungwoo Yang,,name:jungwoo yang
giscience_2016_009,giscience,2016,10.1007/978-3-319-45738-3_9,1,Jiaoli Chen,,name:chen jiaoli
giscience_2016_009,giscience,2016,10.1007/978-3-319-45738-3_9,2,Shih‐Lung Shaw,0000-0001-6157-5519,orcid:0000-0001-6157-5519
giscience_2016_017,giscience,2016,10.1007/978-3-319-45738-3_17,1,Christopher Allen,,name:allen christopher
giscience_2016_017,giscience,2016,10.1007/978-3-319-45738-3_17,2,Thomas Hervey,0000-0003-3803-0937,orcid:0000-0003-3803-0937
giscience_2016_017,giscience,2016,10.1007/978-3-319-45738-3_17,3,Sara Lafia,0000-0002-5896-7295,orcid:0000-0002-5896-7295
giscience_2016_017,giscience,2016,10.1007/978-3-319-45738-3_17,4,Daniel W. Phillips,0000-0001-9602-3773,orcid:0000-0001-9602-3773
giscience_2016_017,giscience,2016,10.1007/978-3-319-45738-3_17,5,Behzad Vahedi,0000-0001-5782-3831,orcid:0000-0001-5782-3831
giscience_2016_017,giscience,2016,10.1007/978-3-319-45738-3_17,6,W. Kühn,0000-0002-4491-0132,orcid:0000-0002-4491-0132
giscience_2018_008,giscience,2018,10.4230/LIPIcs.GIScience.2018.8,1,Filip Krumpe,,name:filip krumpe
giscience_2018_016,giscience,2018,10.4230/LIPIcs.GIScience.2018.16,1,Ashwin Shashidharan,,name:ashwin shashidharan
giscience_2018_016,giscience,2018,10.4230/LIPIcs.GIScience.2018.16,2,Ranga Raju Vatsavai,0000-0002-7083-0267,orcid:0000-0002-7083-0267
giscience_2018_016,giscience,2018,10.4230/LIPIcs.GIScience.2018.16,3,Derek Van Berkel,0000-0002-1001-783X,orcid:0000-0002-1001-783X
giscience_2018_016,giscience,2018,10.4230/LIPIcs.GIScience.2018.16,4,Ross K. Meentemeyer,0000-0002-1247-6212,orcid:0000-0002-1247-6212
giscience_2021_008,giscience,2020,10.4230/lipics.giscience.2021.i.8,1,Bartosz Mazurkiewicz,0000-0001-9400-0084,orcid:0000-0001-9400-0084
giscience_2021_008,giscience,2020,10.4230/lipics.giscience.2021.i.8,2,Markus Kattenbeck,0000-0001-6028-0428,orcid:0000-0001-6028-0428
giscience_2021_008,giscience,2020,10.4230/lipics.giscience.2021.i.8,3,Peter Kiefer,0000-0003-4457-0438,orcid:0000-0003-4457-0438
giscience_2021_008,giscience,2020,10.4230/lipics.giscience.2021.i.8,4,Ioannis Giannopoulos,0000-0002-2556-5230,orcid:0000-0002-2556-5230
giscience_2021_016,giscience,2020,10.4230/lipics.giscience.2021.i.17,1,Piyush Yadav,0000-0002-4872-0205,orcid:0000-0002-4872-0205
giscience_2021_016,giscience,2020,10.4230/lipics.giscience.2021.i.17,2,Dipto Sarkar,0000-0003-2254-049X,orcid:0000-0003-2254-049X
giscience_2021_016,giscience,2020,10.4230/lipics.giscience.2021.i.17,3,Dhaval Salwala,,name:dhaval salwala
giscience_2021_016,giscience,2020,10.4230/lipics.giscience.2021.i.17,4,Edward Curry,0000-0001-8236-6433,orcid:0000-0001-8236-6433
giscience_2021_024,giscience,2021,10.4230/lipics.giscience.2021.ii.8,1,Arthur van Goethem,,name:arthur goethem van
giscience_2021_024,giscience,2021,10.4230/lipics.giscience.2021.ii.8,2,Wouter Meulemans,0000-0002-4978-3400,orcid:0000-0002-4978-3400
giscience_2021_024,giscience,2021,10.4230/lipics.giscience.2021.ii.8,3,Andreas Reimer,,name:andreas reimer
giscience_2021_024,giscience,2021,10.4230/lipics.giscience.2021.ii.8,4,Bettina Speckmann,0000-0002-8514-7858,orcid:0000-0002-8514-7858
giscience_2023_007,giscience,2023,10.4230/LIPIcs.GIScience.2023.7,1,"Li, Hao",,name:hao li
giscience_2023_007,giscience,2023,10.4230/LIPIcs.GIScience.2023.7,2,"Yuan, Zhendong",,name:yuan zhendong
giscience_2023_007,giscience,2023,10.4230/LIPIcs.GIScience.2023.7,3,"Dax, Gabriel",,orcid:0000-0002-1511-5770
giscience_2023_007,giscience,2023,10.4230/LIPIcs.GIScience.2023.7,4,"Kong, Gefei",,name:gefei kong
giscience_2023_007,giscience,2023,10.4230/LIPIcs.GIScience.2023.7,5,"Fan, Hongchao",,name:fan hongchao
giscience_2023_007,giscience,2023,10.4230/LIPIcs.GIScience.2023.7,6,"Zipf, Alexander",,orcid:0000-0003-4916-9838
giscience_2023_007,giscience,2023,10.4230/LIPIcs.GIScience.2023.7,7,"Werner, Martin",,orcid:0000-0002-6951-8022
agile_2017_016,agile,2017,10.1007/978-3-319-56759-4_16,1,Ricardo Silva,0000-0001-5187-8604,orcid:0000-0001-5187-8604
