paper,title,doi,openalex_title,sim_openalex
giscience_2021_012,LSTM-TrajGAN: A Deep Learning Approach to Trajectory Privacy Protection,10.4230/lipics.giscience.2021.i.12,LSTM-TrajGAN: A Deep Learning Approach to Trajectory Privacy Protection,1.0
giscience_2021_020,A Clustering-Based Framework for Individual Travel Behaviour Change Detection,10.4230/lipics.giscience.2021.ii.4,A Clustering-Based Framework for Individual Travel Behaviour Change Detection,1.0
giscience_2021_028,Map Matching for Semi-Restricted Trajectories,10.4230/lipics.giscience.2021.ii.12,Map Matching for Semi-Restricted Trajectories,1.0
giscience_2023_003,Reducing False Discoveries in Statistically-Significant Regional-Colocation Mining: A Summary of Results,10.4230/LIPIcs.GIScience.2023.3,Reducing False Discoveries in Statistically-Significant Regional-Colocation Mining: A Summary of Results,1.0
giscience_2023_011,Benchmarking Regression Models Under Spatial Heterogeneity,10.4230/LIPIcs.GIScience.2023.11,Benchmarking Regression Models Under Spatial Heterogeneity,1.0
agile_2018_001,Evaluating Spatial Data Acquisition and Interpolation Strategies for River Bathymetries,10.1007/978-3-319-78208-9_1,Evaluating Spatial Data Acquisition and Interpolation Strategies for River Bathymetries,1.0
agile_2018_009,Supporting the Monitoring of Cheetahs in Kenya by Mobile Map Apps,10.1007/978-3-319-78208-9_9,Supporting the Monitoring of Cheetahs in Kenya by Mobile Map Apps,1.0
agile_2018_017,A Framework for the Management of Deformable Moving Objects,10.1007/978-3-319-78208-9_17,A Framework for the Management of Deformable Moving Objects,1.0
agile_2020_011,Short-term Traffic Demand Prediction using Graph Convolutional Neural Networks,10.5194/agile-giss-1-12-2020,Short-term Traffic Demand Prediction using Graph Convolutional Neural Networks,1.0
agile_2020_019,Analysis and mapping of crime perception: A quantitative approach of sketch maps,10.5194/agile-giss-1-20-2020,Analysis and mapping of crime perception: A quantitative approach of sketch maps,1.0
agile_2017_003,Residential Choices as a Driving Force to Vertical Segregation in Whitechapel,10.1007/978-3-319-56759-4_3,Residential Choices as a Driving Force to Vertical Segregation in Whitechapel,1.0
agile_2017_019,Beyond Pairs: Generalizing the Geo-dipole for Quantifying Spatial Patterns in Geographic Fields,10.1007/978-3-319-56759-4_19,Beyond Pairs: Generalizing the Geo-dipole for Quantifying Spatial Patterns in Geographic Fields,1.0
agile_2019_008,Route Optimisation for Winter Maintenance,10.1007/978-3-030-14745-7_8,Route Optimisation for Winter Maintenance,1.0
agile_2021_004,"Flood Impact Assessment on Road Network and Healthcare Access at the example of Jakarta, Indonesia (copernicus.org)",10.5194/agile-giss-2-4-2021,"Flood Impact Assessment on Road Network and Healthcare Access at the example of Jakarta, Indonesia",0.9282296650717703
agile_2021_012,Automated Extraction of Labels from Large-Scale Historical Maps (copernicus.org),10.5194/agile-giss-2-12-2021,Automated Extraction of Labels from Large-Scale Historical Maps,0.8936170212765957
