identity,name,group,conf,year,paper,consolidated_data,consolidated_methods,consolidated_results
orcid:0000-0001-6594-4481,Negar Alinaghi,giscience_post,giscience,2021,giscience_2021_021,D,D,A
orcid:0000-0001-6594-4481,"Alinaghi, Negar",giscience_post,giscience,2023,giscience_2023_001,U,D,D
orcid:0000-0001-6594-4481,Negar Alinaghi,agile_post,agile,2024,agile_2024_003,O,O,O
orcid:0000-0001-6594-4481,Negar Alinaghi,agile_post,agile,2024,agile_2024_005,O,O,O
orcid:0000-0001-6638-7250,Benjamin Niedermann,giscience_pre,giscience,2016,giscience_2016_020,A,D,D
orcid:0000-0001-6638-7250,Benjamin Niedermann,giscience_pre,giscience,2018,giscience_2018_013,U,D,D
orcid:0000-0001-6651-0976,Markus Konkol,agile_pre,agile,2017,agile_2017_006,D,D,D
orcid:0000-0001-6651-0976,"Konkol, Markus",giscience_post,giscience,2021,giscience_2021_018,O,O,O
orcid:0000-0001-6673-6158,Arnaud Le Guilcher,giscience_pre,giscience,2018,giscience_2018_011,U,D,D
orcid:0000-0001-6673-6158,Arnaud Le-Guilcher,agile_post,agile,2023,agile_2023_002,A,A,A
orcid:0000-0001-6812-4307,Ali Mansourian,agile_pre,agile,2018,agile_2018_014,U,D,D
orcid:0000-0001-6812-4307,Ali Mansourian,agile_post,agile,2022,agile_2022_020,A,A,A
orcid:0000-0001-7028-9928,Jayant Gupta,agile_post,agile,2022,agile_2022_014,D,A,D
orcid:0000-0001-7028-9928,Jayant Gupta,giscience_post,giscience,2023,giscience_2023_003,U,D,D
orcid:0000-0001-7078-3766,Barbara Hofer,agile_pre,agile,2019,agile_2019_019,D,D,D
orcid:0000-0001-7078-3766,"Hofer, Barbara",giscience_post,giscience,2021,giscience_2021_018,O,O,O
orcid:0000-0001-7106-4907,Ling Cai,agile_post,agile,2021,agile_2021_014,A,A,D
orcid:0000-0001-7106-4907,Ling Cai,agile_post,agile,2022,agile_2022_009,A,A,A
orcid:0000-0001-7106-4907,Ling Cai,agile_post,agile,2022,agile_2022_021,A,A,A
orcid:0000-0001-8005-943X,Jan‐Henrik Haunert,giscience_pre,giscience,2016,giscience_2016_002,D,D,D
orcid:0000-0001-8005-943X,Jan‐Henrik Haunert,giscience_pre,giscience,2018,giscience_2018_013,U,D,D
orcid:0000-0001-8005-943X,Jan‐Henrik Haunert,giscience_post,giscience,2021,giscience_2021_022,U,D,D
orcid:0000-0001-8005-943X,Jan‐Henrik Haunert,giscience_post,giscience,2021,giscience_2021_028,U,U,D
orcid:0000-0001-8208-3468,Marc van Kreveld,giscience_pre,giscience,2016,giscience_2016_015,U,D,D
orcid:0000-0001-8208-3468,Marc van Kreveld,giscience_pre,giscience,2016,giscience_2016_019,U,D,D
orcid:0000-0001-8790-4712,Rui Zhu,agile_post,agile,2021,agile_2021_014,A,A,D
orcid:0000-0001-8790-4712,Rui Zhu,agile_post,agile,2022,agile_2022_021,A,A,A
orcid:0000-0001-8837-192X,Shashi Shekhar,giscience_pre,giscience,2016,giscience_2016_004,D,D,D
orcid:0000-0001-8837-192X,Shashi Shekhar,giscience_pre,giscience,2018,giscience_2018_010,D,D,D
orcid:0000-0001-8837-192X,Shashi Shekhar,giscience_post,giscience,2023,giscience_2023_003,U,D,D
orcid:0000-0001-9187-8385,Thomas Devogèle,agile_pre,agile,2019,agile_2019_012,U,D,D
orcid:0000-0001-9187-8385,Thomas Devogele,agile_post,agile,2023,agile_2023_002,A,A,A
orcid:0000-0001-9270-247X,Jo Wood,giscience_pre,giscience,2016,giscience_2016_015,U,D,D
orcid:0000-0001-9270-247X,"Wood, Jo",giscience_post,giscience,2023,giscience_2023_010,D,A,D
orcid:0000-0001-9313-6414,Maguelonne Teisseire,agile_post,agile,2021,agile_2021_002,D,O,O
orcid:0000-0001-9313-6414,Maguelonne Teisseire,agile_post,agile,2022,agile_2022_016,A,A,A
orcid:0000-0001-9824-5388,Dominik Bucher,agile_pre,agile,2018,agile_2018_015,U,D,D
orcid:0000-0001-9824-5388,"Bucher, Dominik",giscience_pre,giscience,2018,giscience_2018_003,U,D,D
